USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
www-data  1526  0.0  0.0  34764  6224 ?        S    09:47   0:00 /usr/sbin/apache2 -k start
www-data  1528  0.0  0.0  34508  6128 ?        S    09:47   0:00 /usr/sbin/apache2 -k start
www-data  1529  0.0  0.0  34632  5992 ?        S    09:47   0:00 /usr/sbin/apache2 -k start
root      1536  0.0  0.0  78720  5416 ?        Ssl  09:47   0:09 /opt/teamviewer9/tv_bin/teamviewerd -f
root      1539  0.0  0.0  17244  4048 ?        Sl   09:47   0:00 /usr/lib/accountsservice/accounts-daemon
timidity  1541  0.0  0.0  17700  6712 ?        S    09:47   0:00 /usr/bin/timidity -Os -iAD
root      1545  0.0  0.0   4632   852 tty1     Ss+  09:47   0:00 /sbin/getty -8 38400 tty1
nobody    1550  0.0  0.0   6656  1540 ?        S    09:47   0:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/var/run/sendsigs.omit.d/network-manager.dnsmasq.pid --listen-address=127.0.0.1 --conf-file=/var/run/nm-dns-dnsmasq.conf --cache-size=0 --proxy-dnssec --enable-dbus --conf-dir=/etc/NetworkManager/dnsmasq.d
root      1726  0.0  0.0  28424  3788 ?        Sl   09:47   0:00 /usr/lib/upower/upowerd
colord    1837  0.0  0.1  54664 10924 ?        Sl   09:47   0:00 /usr/lib/i386-linux-gnu/colord/colord
root      1851  0.0  0.0  17876  3788 ?        Sl   09:47   0:00 lightdm --session-child 12 19
rtkit     1876  0.0  0.0  21336  1244 ?        SNl  09:47   0:00 /usr/lib/rtkit/rtkit-daemon
root      1904  0.0  0.0      0     0 ?        S    09:47   0:00 [kworker/2:2]
root      1906  0.0  0.0      0     0 ?        S    09:47   0:06 [kworker/3:2]
cluster   1939  0.0  0.1  85664  9672 ?        Sl   09:47   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
cluster   1950  0.0  0.1  53608  9936 ?        Ssl  09:47   0:00 gnome-session --session=ubuntu
cluster   1985  0.0  0.0   4080   208 ?        Ss   09:47   0:00 /usr/bin/ssh-agent /usr/bin/dbus-launch --exit-with-session gnome-session --session=ubuntu
cluster   1988  0.0  0.0   3940   488 ?        S    09:47   0:00 /usr/bin/dbus-launch --exit-with-session gnome-session --session=ubuntu
cluster   1989  0.0  0.0   6596  3096 ?        Ss   09:47   0:13 //bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
cluster   1999  0.0  0.2 141512 16556 ?        Sl   09:47   0:06 /usr/lib/gnome-settings-daemon/gnome-settings-daemon
cluster   2005  0.0  0.0   9800  2324 ?        S    09:47   0:00 /usr/lib/gvfs/gvfsd
cluster   2007  0.0  0.0  36080  3204 ?        Sl   09:47   0:00 /usr/lib/gvfs//gvfs-fuse-daemon -f /home/cluster/.gvfs
cluster   2016  0.8  0.9 350688 78720 ?        Sl   09:47   4:38 compiz
cluster   2025  0.0  0.0 166696  5580 ?        S<l  09:47   0:13 /usr/bin/pulseaudio --start --log-target=syslog
cluster   2029  0.0  0.0  14108  2488 ?        S    09:47   0:00 /usr/lib/pulseaudio/pulse/gconf-helper
cluster   2031  0.0  0.0  10964  3100 ?        S    09:47   0:00 /usr/lib/i386-linux-gnu/gconf/gconfd-2
cluster   2033  0.1  0.4 174460 37388 ?        Sl   09:47   0:54 nautilus -n
cluster   2034  0.0  0.1 113488 15148 ?        Sl   09:47   0:00 nm-applet
cluster   2036  0.0  0.1  61056  8988 ?        Sl   09:47   0:00 /usr/lib/gnome-settings-daemon/gnome-fallback-mount-helper
cluster   2039  0.0  0.1  42480  8540 ?        Sl   09:47   0:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
cluster   2042  0.0  0.1  81172 11664 ?        Sl   09:47   0:00 bluetooth-applet
cluster   2046  0.0  0.0  31344  4564 ?        S    09:47   0:00 /usr/lib/gvfs/gvfs-gdu-volume-monitor
root      2050  0.0  0.0  25540  3808 ?        Sl   09:47   0:00 /usr/lib/udisks/udisks-daemon
root      2053  0.0  0.0   6556   732 ?        S    09:47   0:00 udisks-daemon: not polling any devices
cluster   2058  0.0  0.0  21708  2140 ?        Sl   09:47   0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
cluster   2061  0.0  0.0  10432  2132 ?        S    09:47   0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
cluster   2067  0.0  0.0  11676  3824 ?        S    09:47   0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
cluster   2069  0.0  0.0   9804  2452 ?        S    09:47   0:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.4 /org/gtk/gvfs/exec_spaw/1
cluster   2076  0.0  0.1  79852 10968 ?        Sl   09:47   0:14 /usr/lib/bamf/bamfdaemon
cluster   2090  0.0  0.0   9668  2116 ?        S    09:47   0:00 /usr/lib/gvfs/gvfsd-metadata
cluster   2095  0.0  0.0   2236   528 ?        Ss   09:47   0:00 /bin/sh -c /usr/bin/compiz-decorator
cluster   2096  0.0  0.1  44992 11460 ?        Sl   09:47   0:06 /usr/bin/gtk-window-decorator
cluster   2102  0.1  0.3 103408 26264 ?        Sl   09:47   0:34 /usr/lib/unity/unity-panel-service
cluster   2104  0.0  0.0  71488  7268 ?        Sl   09:47   0:22 /usr/lib/indicator-appmenu/hud-service
cluster   2116  0.0  0.0  66900  6832 ?        Sl   09:47   0:00 /usr/lib/indicator-datetime/indicator-datetime-service
cluster   2118  0.0  0.0 130212  6648 ?        Sl   09:47   0:00 /usr/lib/indicator-sound/indicator-sound-service
cluster   2120  0.0  0.1  63548 10008 ?        Sl   09:47   0:00 /usr/lib/indicator-printers/indicator-printers-service
cluster   2122  0.0  0.0  54388  4416 ?        Sl   09:47   0:00 /usr/lib/indicator-application/indicator-application-service
cluster   2124  0.0  0.0  52636  6336 ?        Sl   09:47   0:00 /usr/lib/indicator-messages/indicator-messages-service
cluster   2126  0.0  0.0  72356  6040 ?        Sl   09:47   0:00 /usr/lib/indicator-session/indicator-session-service
